iter	Passed	Remaining
0	159	15829
1	177	8716
2	196	6351
3	212	5100
4	228	4342
5	247	3881
6	265	3531
7	284	3273
8	304	3079
9	322	2902
10	342	2767
11	360	2641
12	398	2664
13	415	2552
14	437	2476
15	454	2384
16	469	2291
17	486	2214
18	503	2147
19	522	2091
20	543	2046
21	561	1989
22	581	1948
23	605	1916
24	625	1877
25	645	1836
26	663	1795
27	683	1758
28	702	1719
29	726	1694
30	745	1659
31	765	1627
32	784	1593
33	803	1560
34	823	1529
35	844	1501
36	863	1470
37	885	1444
38	907	1419
39	928	1392
40	948	1365
41	964	1331
42	981	1300
43	998	1270
44	1017	1243
45	1034	1214
46	1050	1184
47	1070	1159
48	1088	1133
49	1122	1122
50	1149	1104
51	1177	1087
52	1204	1067
53	1223	1041
54	1241	1015
55	1258	989
56	1278	964
57	1298	940
58	1317	915
59	1338	892
60	1356	867
61	1378	845
62	1396	820
63	1413	795
64	1430	770
65	1450	747
66	1468	723
67	1484	698
68	1500	674
69	1518	650
70	1537	627
71	1558	606
72	1577	583
73	1595	560
74	1611	537
75	1629	514
76	1647	492
77	1666	470
78	1692	449
79	1710	427
80	1729	405
81	1749	384
82	1767	361
83	1784	339
84	1801	317
85	1819	296
86	1837	274
87	1856	253
88	1880	232
89	1900	211
90	1920	189
91	1938	168
92	1957	147
93	1976	126
94	1995	105
95	2012	83
96	2029	62
97	2046	41
98	2066	20
99	2086	0
